User ID,Vehicle Model,Battery Capacity (kWh),Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Duration (hours),Time of Day,State of Charge (Start %),State of Charge (End %),Temperature (C),Vehicle Age (years),Charger Type
3b92b5db-0af,Tesla Model 3 LR,81.1,2023-09-02 19:49:51,2023-09-02 20:27:03,56.57,0.62,Evening,19.1,80.4,23.7,8.3,Tesla_SC
ed23f97c-65e,Tesla Model 3 LR,81.4,2023-10-05 11:29:14,2023-10-05 12:14:50,68.21,0.76,Morning,25.9,97.6,22.5,7.8,Tesla_SC
22547c5e-478,Tesla Model 3 LR,77.7,2023-08-30 08:02:21,2023-08-30 21:18:33,50.72,13.27,Morning,36.1,97.2,32.6,6.1,AC_L2
e5452429-c85,Ford Mustang Mach-E,75.7,2023-04-07 20:06:19,2023-04-07 21:03:19,41.0,0.95,Evening,31.4,81.4,8.0,5.8,DC_CCS
a1d7f434-907,Tesla Model 3 LR,78.1,2023-01-07 17:14:12,2023-01-07 21:34:36,15.81,4.34,Evening,61.9,80.9,6.7,8.4,AC_L2
f190de50-242,Tesla Model Y,74.3,2023-07-03 13:02:24,2023-07-03 19:22:12,17.37,6.33,Afternoon,67.6,90.0,37.2,3.7,AC_L2
cd98552b-321,Tesla Model Y,77.2,2023-12-02 11:02:19,2023-12-02 12:08:19,41.4,1.1,Morning,34.4,84.0,16.0,4.6,DC_CCS
92ecd540-19f,Tesla Model 3 LR,72.8,2023-08-08 11:55:40,2023-08-08 13:17:52,53.36,1.37,Morning,19.5,83.9,37.3,6.3,DC_CCS
f190de50-242,Tesla Model Y,82.0,2023-11-08 19:31:17,2023-11-08 20:51:05,53.89,1.33,Evening,21.6,80.4,11.4,4.0,DC_CCS
62daf3f8-9fc,Kia Niro EV,65.2,2023-02-17 08:06:59,2023-02-17 17:44:11,39.68,9.62,Morning,41.2,99.6,10.0,5.1,AC_L2
e6e5200a-ebd,Tesla Model 3 LR,77.2,2023-11-25 17:59:07,2023-11-25 18:32:43,53.58,0.56,Evening,27.1,89.3,15.0,7.7,Tesla_SC
fb40f238-bc5,Hyundai Kona Electric,67.3,2023-03-16 18:55:55,2023-03-16 20:15:43,50.48,1.33,Evening,20.1,89.0,13.0,5.2,DC_CCS
442991da-38a,Nissan Leaf,53.8,2023-01-12 15:11:32,2023-01-13 01:22:20,25.6,10.18,Afternoon,52.7,96.9,11.1,15.7,AC_L2
a90cdec8-439,Hyundai Kona Electric,63.8,2023-04-30 01:35:57,2023-04-30 11:02:21,34.12,9.44,Night,43.8,93.6,8.2,6.2,AC_L2
b74ad12f-ba2,Ford Mustang Mach-E,80.5,2023-10-02 19:56:42,2023-10-03 02:21:54,35.27,6.42,Evening,49.1,91.3,12.4,5.6,AC_L2
12328ff0-2f6,Tesla Model Y,82.2,2023-03-14 08:36:10,2023-03-14 10:34:22,72.57,1.97,Morning,12.7,92.3,16.9,4.5,DC_CCS
a6a0a371-887,Porsche Taycan,80.1,2023-05-08 01:44:30,2023-05-08 02:56:30,49.23,1.2,Night,22.3,78.4,14.8,4.5,DC_CCS
d6fec24e-052,Chevy Bolt,61.2,2023-05-22 13:17:59,2023-05-22 22:59:59,26.33,9.7,Afternoon,46.8,88.1,27.5,7.8,AC_L2
fbf96e15-83e,Rivian R1T,103.9,2023-11-16 20:41:20,2023-11-16 22:01:44,55.84,1.34,Evening,28.2,76.8,6.8,3.7,DC_CCS
dd4436c2-a43,Nissan Leaf,46.8,2023-04-14 18:49:07,2023-04-14 19:34:43,24.71,0.76,Evening,37.8,85.2,15.5,13.3,DC_CHAdeMO
5aed6783-81f,Tesla Model S,99.1,2023-11-18 00:03:14,2023-11-18 10:24:50,61.52,10.36,Night,37.6,97.7,4.4,11.5,AC_L2
c3de9ee6-979,Audi e-tron,83.1,2023-08-10 12:55:51,2023-08-10 13:59:27,50.18,1.06,Afternoon,20.7,75.2,36.3,7.8,DC_CCS
6ba87ced-d35,Tesla Model S,101.6,2023-09-12 17:45:13,2023-09-12 19:22:25,68.75,1.62,Evening,23.3,83.9,25.9,11.5,DC_CCS
dc42d24d-55b,Chevy Bolt,58.2,2023-08-30 14:11:45,2023-08-31 00:07:33,23.76,9.93,Afternoon,55.5,93.6,32.7,8.6,AC_L2
e7c2542d-37e,Chevy Bolt,63.3,2023-02-20 19:31:41,2023-02-21 06:04:41,26.29,10.55,Evening,56.0,95.7,4.2,8.5,AC_L2
9693d643-ae4,Volkswagen ID.4,78.2,2023-09-24 16:51:33,2023-09-24 17:59:57,47.32,1.14,Afternoon,33.0,88.7,27.3,3.0,DC_CCS
e881e863-370,BMW i3,41.0,2023-11-24 20:44:58,2023-11-24 21:22:10,24.82,0.62,Evening,28.0,81.1,6.9,11.9,DC_CCS
b241fe11-3f9,Tesla Model S,99.9,2023-01-06 18:08:37,2023-01-06 19:33:13,61.05,1.41,Evening,26.4,80.1,2.4,13.0,DC_CCS
7ce2c18c-2c1,Tesla Model Y,80.5,2023-08-14 21:06:19,2023-08-14 22:26:43,122.5833834673642,1.34,Night,26.9,89.1,23.7,3.6,DC_CCS
4364475a-217,Audi e-tron,92.1,2023-11-29 12:36:43,2023-11-29 13:48:07,51.66,1.19,Afternoon,31.3,81.1,17.9,6.4,DC_CCS
db2e969b-a1c,Tesla Model Y,77.6,2023-08-13 16:12:24,2023-08-13 16:47:48,48.5,0.59,Afternoon,29.0,83.9,31.8,5.8,Tesla_SC
1ea19526-723,Chevy Bolt,60.8,2023-10-27 20:23:04,2023-10-28 03:18:52,23.63,6.93,Evening,53.1,89.1,13.8,10.0,AC_L2
584b9ab3-daf,Tesla Model 3 LR,78.3,2023-07-21 22:51:35,2023-07-22 00:13:11,56.65,1.36,Night,17.4,81.4,18.8,8.7,DC_CCS
910d8517-645,Nissan Leaf,58.2,2023-10-16 19:02:30,2023-10-17 16:13:54,16.14,21.19,Evening,60.4,86.8,17.3,13.2,AC_L1
12328ff0-2f6,Kia Niro EV,60.8,2023-11-12 16:51:49,2023-11-13 06:42:13,34.02,13.84,Afternoon,37.5,88.8,14.2,7.9,AC_L2
76ca20db-a49,Tesla Model 3 LR,81.4,2023-08-24 20:27:20,2023-08-24 21:47:44,53.83,1.34,Evening,19.8,79.2,20.4,8.8,DC_CCS
f87e3337-ad8,Hyundai Kona Electric,64.5,2023-06-24 12:28:47,2023-06-24 18:43:11,17.37,6.24,Afternoon,68.3,94.2,35.5,6.0,AC_L2
255552e7-a12,Ford Mustang Mach-E,88.5,2023-10-16 00:57:48,2023-10-16 02:13:24,53.23,1.26,Night,29.2,82.5,7.3,4.2,DC_CCS
45e74780-9bb,Tesla Model 3 LR,74.3,2023-02-08 09:51:51,2023-02-08 23:12:51,42.17,13.35,Morning,37.1,89.5,13.1,7.2,AC_L2
c6294ff3-9ba,Tesla Model Y,82.5,2023-05-16 17:05:35,2023-05-16 18:48:11,63.82,1.71,Evening,27.5,95.5,24.8,5.4,DC_CCS
041cdf65-216,Ford Mustang Mach-E,81.2,2023-10-15 09:44:03,2023-10-15 11:23:03,66.11,1.65,Morning,22.9,94.4,21.0,5.9,DC_CCS
8cf6d93a-097,Tesla Model Y,80.5,2023-08-19 19:40:28,2023-08-19 20:06:52,49.23,0.44,Evening,22.8,76.2,26.2,3.9,Tesla_SC
00391d4d-e4c,Rivian R1T,118.7,2023-09-18 07:36:55,2023-09-18 09:34:31,86.76,1.96,Morning,15.8,83.1,23.8,5.0,DC_CCS
e5452429-c85,Tesla Model S,97.5,2023-12-08 20:57:50,2023-12-08 22:24:14,65.39,-1.9063833710129428,Evening,19.1,79.4,4.9,14.0,DC_CCS
e3e812da-7f7,Tesla Model Y,75.4,2023-01-02 21:25:29,2023-01-03 05:10:29,42.86,7.75,Night,44.6,98.3,1.4,4.5,AC_L2
9e7d9c39-ba9,Tesla Model Y,80.7,2023-09-12 10:05:59,2023-09-12 10:35:23,49.19,0.49,Morning,28.1,80.8,30.1,5.5,Tesla_SC
e5684e96-ec0,Nissan Leaf,58.8,2023-07-12 09:22:25,2023-07-12 20:03:49,36.29,10.69,Morning,30.0,89.0,33.9,14.2,AC_L2
f17bb29c-fc3,Volkswagen ID.4,77.6,2023-08-11 20:33:38,2023-08-11 22:15:02,61.67,1.69,Evening,18.0,91.1,23.3,5.2,DC_CCS
dd4436c2-a43,Tesla Model Y,77.5,2023-12-03 08:39:10,2023-12-03 09:01:58,40.34,0.38,Morning,30.6,76.8,13.0,4.6,Tesla_SC
133287cd-303,Tesla Model 3 LR,81.3,2023-10-11 03:18:54,2023-10-11 07:11:42,10.46,3.88,Night,73.3,85.7,9.1,8.2,AC_L2
c15034ce-7b3,Chevy Bolt,64.3,2023-01-02 08:15:10,2023-01-02 09:17:34,45.97,1.04,Morning,12.6,77.7,8.3,7.3,DC_CCS
a87a4f50-6a5,Kia Niro EV,63.7,2023-09-16 10:04:27,2023-09-16 21:45:51,41.35,11.69,Morning,35.9,96.2,28.3,5.4,AC_L2
deaec437-5f5,Nissan Leaf,43.4,2023-11-29 18:59:51,2023-11-29 19:37:03,21.2,0.62,Evening,37.8,81.5,12.7,13.5,DC_CHAdeMO
b17e659d-fac,Nissan Leaf,49.8,2023-03-08 06:52:59,2023-03-08 07:34:23,24.07,0.69,Morning,36.0,80.4,10.6,15.7,DC_CHAdeMO
54b94439-ec3,Tesla Model S,91.7,2023-02-08 18:06:24,2023-02-08 18:52:00,69.61,0.76,Evening,14.5,81.5,5.9,13.0,Tesla_SC
afd79240-7de,Hyundai Kona Electric,64.9,2023-05-10 21:27:09,2023-05-10 22:33:09,42.98,1.1,Night,23.5,84.0,14.0,6.5,DC_CCS
b323bc12-249,Volkswagen ID.4,75.6,2023-01-18 10:32:22,2023-01-18 18:43:10,22.88,8.18,Morning,64.6,93.2,13.9,3.2,AC_L2
6e79e2a7-84e,Ford Mustang Mach-E,84.6,2023-08-24 09:20:04,2023-08-24 10:37:28,57.62,1.29,Morning,16.8,78.9,30.8,4.7,DC_CCS
dd4436c2-a43,Tesla Model S,97.4,2023-12-21 20:46:28,2023-12-21 22:04:28,55.18,1.3,Evening,25.4,77.8,2.4,11.5,DC_CCS
da57027f-455,Hyundai Kona Electric,67.1,2023-03-01 22:17:28,2023-03-02 05:15:40,23.78,6.97,Night,50.6,83.5,3.6,5.7,AC_L2
fb40f238-bc5,BMW i3,44.1,2023-07-10 09:53:49,2023-07-10 14:35:49,17.74,4.7,Morning,57.0,94.6,31.7,12.9,AC_L2
5aed6783-81f,Hyundai Kona Electric,68.8,2023-08-10 12:05:01,2023-08-11 00:18:13,31.14,12.22,Afternoon,53.1,95.2,34.6,7.2,AC_L2
0f964c67-b38,Volkswagen ID.4,77.4,2023-04-28 06:58:53,2023-04-28 22:48:05,37.45,15.82,Morning,48.5,93.4,16.1,3.3,AC_L2
a6276e1c-add,Tesla Model Y,78.6,2023-04-18 13:51:34,2023-04-19 09:56:58,57.81,20.09,Afternoon,30.6,98.9,22.4,5.4,AC_L2
26088667-73d,Tesla Model Y,84.3,2023-10-02 17:19:48,2023-10-02 22:26:24,29.27,5.11,Evening,54.0,85.8,16.7,4.8,AC_L2
965b1404-fe9,Audi e-tron,91.7,2023-09-17 13:02:51,2023-09-18 00:43:03,38.42,11.67,Afternoon,54.4,93.0,31.3,5.9,AC_L2
ecb33e5e-628,Tesla Model Y,77.7,2023-10-19 14:38:26,2023-10-19 20:44:26,26.06,6.1,Afternoon,62.1,93.5,21.9,4.3,AC_L2
2d9870a6-af6,Ford Mustang Mach-E,80.9,2023-01-16 18:35:54,2023-01-16 19:58:06,57.98,1.37,Evening,15.2,81.2,3.9,3.9,DC_CCS
